ligand,predicted_affinity,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000075144291.mol2,6.094490886,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000007881121.mol2,6.09126389,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004977040.mol2,6.085204482,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009510254.mol2,6.08441174,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000022228229.mol2,6.077811122,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000223047573.mol2,6.074338555,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000299804013.mol2,6.073801517,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000021838856.mol2,6.072744131,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000002869077.mol2,6.071106195,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004653831.mol2,6.063812971,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000185955206.mol2,6.049981713,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000026753611.mol2,6.048259735,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000032926715.mol2,6.040953398,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000409178969.mol2,6.032856703,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408551822.mol2,6.030050516,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408621012.mol2,6.028780341,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408621019.mol2,6.028780341,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000026766401.mol2,6.028100252,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000042036368.mol2,6.025558114,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000042036370.mol2,6.025558114,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012758371.mol2,6.024076343,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004838960.mol2,6.016619802,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408600670.mol2,6.002494097,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000024686437.mol2,6.002198458,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000039985873.mol2,5.997855067,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000010753586.mol2,5.976261497,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000062132516.mol2,5.966094136,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012982507.mol2,5.963113308,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000014795775.mol2,5.954936147,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012793042.mol2,5.948441625,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013267704.mol2,5.934222937,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000084579080.mol2,5.918924809,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000015386089.mol2,5.916116238,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000009806361.mol2,5.915232897,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000222757353.mol2,5.914565325,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000024712259.mol2,5.910182595,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000004938271.mol2,5.904788375,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012648728.mol2,5.898289084,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000012748038.mol2,5.888690352,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000028207661.mol2,5.86859405,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000022228430.mol2,5.86558938,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000006205261.mol2,5.856600404,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000408600838.mol2,5.8481282,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000013267702.mol2,5.84423542,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000015386094.mol2,5.834013224,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000053891755.mol2,5.83173573,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000001098826.mol2,5.822153687,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000039986223.mol2,5.820915699,
/home/zdy/Project2/data/case/HIV-1-Protease/mol2/ZINC000039986224.mol2,5.820915699,
